#TZ-strip	mmfe8-channel
0		128
1		129
2		130
3		131
4		132
5		133
6		134
7		135
8		136
9		137
10		138
11		139
12		140
13		141
14		142
15		143
16		144
17		145
18		146
19		147
20		148
21		149
22		150
23		151
24		152
25		153
26		154
27		155
28		156
29		157
30		158
31		159
32		160
33		161
34		162
35		163
36		164
37		165
38		166
39		167
40		168
41		169
42		170
43		171
44		172
45		173
46		174
47		175
48		176
49		177
50		178
51		179
52		180
53		181
54		182
55		183
56		184
57		185
58		186
59		187
60		188
61		189
62		190
63		191
64		192
65		193
66		194
67		195
68		196
69		197
70		198
71		199
72		200
73		201
74		202
75		203
76		204
77		205
78		206
79		207
80		208
81		209
82		210
83		211
84		212
85		213
86		214
87		215
88		216
89		217
90		218
91		219
92		220
93		221
94		222
95		223
96		224
97		225
98		226
99		227
100		228
101		229
102		230
103		231
104		232
105		233
106		234
107		235
108		236
109		237
110		238
111		239
112		240
113		241
114		242
115		243
116		244
117		245
118		246
119		247
120		248
121		249
122		250
123		251
124		252
125		253
126		254
127		255
128		256
129		257
130		258
131		259
132		260
133		261
134		262
135		263
136		264
137		265
138		266
139		267
140		268
141		269
142		270
143		271
144		272
145		273
146		274
147		275
148		276
149		277
150		278
151		279
152		280
153		281
154		282
155		283
156		284
157		285
158		286
159		287
160		288
161		289
162		290
163		291
164		292
165		293
166		294
167		295
168		296
169		297
170		298
171		299
172		300
173		301
174		302
175		303
176		304
177		305
178		306
179		307
180		308
181		309
182		310
183		311
184		312
185		313
186		314
187		315
188		316
189		317
190		318
191		319
192		320
193		321
194		322
195		323
196		324
197		325
198		326
199		327
200		328
201		329
202		330
203		331
204		332
205		333
206		334
207		335
208		336
209		337
210		338
211		339
212		340
213		341
214		342
215		343
216		344
217		345
218		346
219		347
220		348
221		349
222		350
223		351
224		352
225		353
226		354
227		355
228		356
229		357
230		358
231		359
232		360
233		361
234		362
235		363
236		364
237		365
238		366
239		367
240		368
241		369
242		370
243		371
244		372
245		373
246		374
247		375
248		376
249		377
250		378
251		379
252		380
253		381
254		382
255		383
